Name	Set	ImageFile	Element	Hitpoints	Powerlevel	Subtypes	Supertypes	Cost	Rarity	Description
Call of the Void BS 011	BS	BS-011.png	Space	N/A	N/A	Hyper Rank Chance Resource Rift Burn	Augment	4	Ultra Rare	Mythical, Equip Player (Only one copy of this card can exist under your control. Attach this card to a relevant target.);Whenever one or more cards are destroyed, put 1 Power Counter on this card.;Remove 1 Power Counter: Imprison the top card of target Player's Deck.
Citrine Ring BS 012	BS	BS-012.png	Light	N/A	N/A	Special Rank Curse Equipment	Augment	3	Rare	Equip Character (Attach this card to a relevant target.);The attached target has Infused with Light-type. (This target and all Attacks it performs are the listed elements instead.)
Clock Tower BS 013	BS	BS-013.png	Time	N/A	N/A	Hyper Rank Enhancement	Augment	2	Rare	Mythical, Equip Player (Only one copy of this card can exist under your control. Attach this card to a relevant target.);Time-type cards cost 1 fewer TP.
Coliseum of Heroes BS 014	BS	BS-014.png	Light	N/A	N/A	Special Rank Recovery	Augment	2	Common	Equip Player (Attach this card to a relevant target.);Whenever a Light-type Character enters, its allies heal for 1 HP.
Commander's Whistle BS 015	BS	BS-015.png	Dark	N/A	N/A	Hyper Rank Equipment	Augment	4	Uncommon	Equip Character (Attach this card to a relevant target.);When this card enters, take control of the attached target until this card leaves.
Counter Generator BS 016	BS	BS-016.png	Null	N/A	N/A	Hyper Rank Resource	Augment	4	Rare	Equip Player (Attach this card to a relevant target.);This card enters with 3 Power Counters on it. If this card has no Power Counters on it, destroy it.;Remove 1 Power Counter: Put 1 Power Counter on another target card you control except for cards named Counter Generator. This ability can only be used once per round.
Crashlanders BS 017	BS	BS-017.png	Earth	N/A	N/A	Hyper Rank Equipment	Augment	5	Common	Equip Character (Attach this card to a relevant target.);The attached target gets +2 HP and has Immune to Fracture, Paralyze. (This target cannot be targeted or affected by the listed card types, keywords, Counters, or abilities.)
Cybernetic Implants BS 018	BS	BS-018.png	Metal	N/A	N/A	Hyper Rank Equipment	Augment	5	Uncommon	Equip Player or Character (Attach this card to a relevant target.);The attached target has Immune to Drain, Fracture, Poison. (This target cannot be targeted or affected by the listed card types, keywords, Counters, or abilities.)
Darkness Essence BS 019	BS	BS-019.png	Dark	N/A	N/A	Special Rank Resource Recovery	Augment	2	Common	Equip Player (Attach this card to a relevant target.);This card can hold a maximum of 1 Power Counter. During your Starting Phase, put 1 Power Counter on this card.;Remove 1 Power Counter: Gain 1 TP. Spend TP gained this way only to play or activate abilities of Darkness-type cards. Lose any unspent TP gained this way at end of turn.
Death Zone BS 020	BS	BS-020.png	Dark	N/A	N/A	Ultra Rank Curse	Augment	5	Rare	Mythical, Equip Player (Only one copy of this card can exist under your control. Attach this card to a relevant target.);Whenever a Character enters, it gains Timebomb 1. (Put that many of these Counters on your targets. During your End Phase, put 1 of these Counters on it if it has any. If it has 10 or more of these Counters on it, it's Knocked Out.)
Deep Sea Fissure BS 021	BS	BS-021.png	Water	N/A	N/A	Hyper Rank Draw	Augment	4	Common	Equip Player (Attach this card to a relevant target.);Whenever a Water-type Character enters, its controller draws a card.
Doombringer BS 022	BS	BS-022.png	Null	N/A	N/A	Ultra Rank Equipment	Augment	4	Super Rare	Mythical, Equip Character (Only one copy of this card can exist under your control. Attach this card to a relevant target.);Whenever the attached target Attacks, target opponent Player imprisons the top card of their Deck.
Dragonfire Scale BS 023	BS	BS-023.png	Fire	N/A	N/A	Ultra Rank Equipment Energy Attack	Augment	5	Rare	Equip Player or Character (Attach this card to a relevant target.);Whenever the attached target becomes targeted by an Attack or ability, put 1 Power Counter on this card.;Remove all Power Counters: The attached target hits target reachable opponent for Unblockable Damage equal to the number of Power Counters removed this way, then destroy this card.
Dreadforge Mindlink BS 024	BS	BS-024.png	Metal	N/A	N/A	Hyper Rank Equipment	Augment	5	Rare	Arm Up 2, Equip Player (If 2 or more cards with Equip are attached to this target, it's considered Armed Up. Attach this card to a relevant target.);All cards except cards named Dreadforge Mindlink attached to the attached target count towards this card's Arm Up.;While this card is Armed Up, the equipped Player may heal target Character or Player for 2 HP. This ability can only be used once per round.
Earth Essence BS 025	BS	BS-025.png	Earth	N/A	N/A	Special Rank Resource Recovery	Augment	2	Common	Equip Player (Attach this card to a relevant target.);This card can hold a maximum of 1 Power Counter. During your Starting Phase, put 1 Power Counter on this card.;Remove 1 Power Counter: Gain 1 TP. Spend TP gained this way only to play or activate abilities of Earth-type cards. Lose any unspent TP gained this way at end of turn.
Eldritch Portal BS 026	BS	BS-026.png	Space	N/A	N/A	Ultra Rank Rift Curse	Augment	5	Super Rare	Mythical, Equip Player (Only one copy of this card can exist under your control. Attach this card to a relevant target.);NonCharacter cards have Void. (If this target would be destroyed, imprison it instead.)
Electron Barrier BS 027	BS	BS-027.png	Storm	N/A	N/A	Ultra Rank Modifier	Augment	4	Uncommon	Equip Character (Attach this card to a relevant target.);The attached target can't be targeted by cards or abilities your opponents control unless they pay 1 TP.
Energy Generator BS 028	BS	BS-028.png	Time	N/A	N/A	Hyper Rank Recovery	Augment	4	Common	Equip Character (Attach this card to a relevant target.);The attached target has Charge 1. (During your Starting Phase, gain 1 TP.)
Fire Essence BS 029	BS	BS-029.png	Fire	N/A	N/A	Special Rank Resource Recovery	Augment	2	Common	Equip Player (Attach this card to a relevant target.);This card can hold a maximum of 1 Power Counter. During your Starting Phase, put 1 Power Counter on this card.;Remove 1 Power Counter: Gain 1 TP. Spend TP gained this way only to play or activate abilities of Fire-type cards. Lose any unspent TP gained this way at end of turn.
Gift of Darkness BS 030	BS	BS-030.png	Dark	N/A	N/A	Special Rank Enhancement	Augment	1	Common	Equip Character (Attach this card to a relevant target.);The attached target deals 2 more Damage per hit with Darkness-type Attacks.
Gift of Evergreen BS 031	BS	BS-031.png	Nature	N/A	N/A	Special Rank Enhancement	Augment	1	Common	Equip Character (Attach this card to a relevant target.);The attached target deals 2 more Damage per hit with Nature-type Attacks.
Gift of Light BS 032	BS	BS-032.png	Light	N/A	N/A	Special Rank Enhancement	Augment	1	Common	Equip Character (Attach this card to a relevant target.);The attached target deals 2 more Damage per hit with Light-type Attacks.
Gift of Steel BS 033	BS	BS-033.png	Metal	N/A	N/A	Special Rank Enhancement	Augment	1	Common	Equip Character (Attach this card to a relevant target.);The attached target deals 2 more Damage per hit with Metal-type Attacks.
Gift of the Ages BS 034	BS	BS-034.png	Time	N/A	N/A	Special Rank Enhancement	Augment	1	Common	Equip Character (Attach this card to a relevant target.);The attached target deals 2 more Damage per hit with Time-type Attacks.
Gift of the Flame BS 035	BS	BS-035.png	Fire	N/A	N/A	Special Rank Enhancement	Augment	1	Common	Equip Character (Attach this card to a relevant target.);The attached target deals 2 more Damage per hit with Fire-type Attacks.
Gift of the Mineral BS 036	BS	BS-036.png	Earth	N/A	N/A	Special Rank Enhancement	Augment	1	Common	Equip Character (Attach this card to a relevant target.);The attached target deals 2 more Damage per hit with Earth-type Attacks.
Gift of the Nebula BS 037	BS	BS-037.png	Space	N/A	N/A	Special Rank Enhancement	Augment	1	Common	Equip Character (Attach this card to a relevant target.);The attached target deals 2 more Damage per hit with Space-type Attacks.
Gift of the Ocean BS 038	BS	BS-038.png	Water	N/A	N/A	Special Rank Enhancement	Augment	1	Common	Equip Character (Attach this card to a relevant target.);The attached target deals 2 more Damage per hit with Water-type Attacks.
Gift of the Zephyr BS 039	BS	BS-039.png	Storm	N/A	N/A	Special Rank Enhancement	Augment	1	Common	Equip Character (Attach this card to a relevant target.);The attached target deals 2 more Damage per hit with Storm-type Attacks.
Glass Cannon BS 040	BS	BS-040.png	Dark/Earth	N/A	N/A	Special Rank Equipment	Augment	1	Common	Equip Character (Attach this card to a relevant target.);The attached target gets +4 PLV. If they deal or gain Damage from an Attack, destroy this card.
Hellrealm Dimension BS 041	BS	BS-041.png	Dark/Fire	N/A	N/A	Ultra Rank Curse Modifier	Augment	6	Common	Mythical, Equip Player (Only one copy of this card can exist under your control. Attach this card to a relevant target.);Characters have Infused with Darkness-type. (This target and all Attacks it performs are the listed elements instead.);If a Player is in The Last Stand, that Player gets +4 PLV.
Hematite Ring BS 042	BS	BS-042.png	Metal	N/A	N/A	Special Rank Curse Equipment	Augment	3	Rare	Equip Character (Attach this card to a relevant target.);The attached target has Infused with Metal-type. (This target and all Attacks it performs are the listed elements instead.)
Imminent Meteor BS 043	BS	BS-043.png	Space/Earth	N/A	N/A	Ultra Rank Destruction	Augment	6	Rare	Equip Player (Attach this card to a relevant target.);During each Player's End Phase, put 1 Power Counter on this card.;If this card has 25 or more Power Counters on it, destroy all cards controlled by Players.
Ironskin BS 044	BS	BS-044.png	Metal	N/A	N/A	Hyper Rank Enhancement	Augment	4	Common	Equip Character (Attach this card to a relevant target.);During your Starting Phase, the attached target gains Shield 1. (Put that many of these Counters on your targets. If it becomes targeted by an Attack, you may remove 1 of these Counters from it to Block that Attack.)
Junk Cycler BS 045	BS	BS-045.png	Earth/Water	N/A	N/A	Special Rank Equipment	Augment	2	Common	Equip Player (Attach this card to a relevant target.);Discard a card: Draw a card. This ability can only be used once per round.
Karate Gi BS 046	BS	BS-046.png	Time	N/A	N/A	Hyper Rank Equipment	Augment	4	Common	Equip Player or Character (Attach this card to a relevant target.);The attached target has Multistrike 1. (This target's Normal Rank Attacks Hit up to 1 extra targets.)
Light Essence BS 047	BS	BS-047.png	Light	N/A	N/A	Special Rank Resource Recovery	Augment	2	Common	Equip Player (Attach this card to a relevant target.);This card can hold a maximum of 1 Power Counter. During your Starting Phase, put 1 Power Counter on this card.;Remove 1 Power Counter: Gain 1 TP. Spend TP gained this way only to play or activate abilities of Light-type cards. Lose any unspent TP gained this way at end of turn.
Loaded Dice BS 048	BS	BS-048.png	Space/Nature	N/A	N/A	Hyper Rank Chance Modifier	Augment	4	Rare	Mythical, Equip Player or Character (Only one copy of this card can exist under your control. Attach this card to a relevant target.);Whenever an ability activated or triggered by the attached target performs a coin flip or dice roll, they may attempt that coin flip or dice roll again, keeping either result. This ability can only be used once per round.
Maelstrom Force BS 049	BS	BS-049.png	Storm	N/A	N/A	Hyper Rank Enhancement	Augment	4	Common	Equip Player (Attach this card to a relevant target.);Storm-type Characters have Flash. (This target can Attack the turn it enters.)
Malachite Ring BS 050	BS	BS-050.png	Nature	N/A	N/A	Special Rank Curse Equipment	Augment	3	Rare	Equip Character (Attach this card to a relevant target.);The attached target has Infused with Nature-type. (This target and all Attacks it performs are the listed elements instead.)
Medic's Touch BS 051	BS	BS-051.png	Light	N/A	N/A	Hyper Rank Modifier	Augment	4	Rare	Equip Character (Attach this card to a relevant target.);The attached target may target their allies with Normal Rank Attacks. If they do, they heal their targets for a number of HP equal to their PLV instead.
Melanite Ring BS 052	BS	BS-052.png	Dark	N/A	N/A	Special Rank Curse Equipment	Augment	3	Rare	Equip Character (Attach this card to a relevant target.);The attached target has Infused with Darkness-type. (This target and all Attacks it performs are the listed elements instead.)
Metal Essence BS 053	BS	BS-053.png	Metal	N/A	N/A	Special Rank Resource Recovery	Augment	2	Common	Equip Player (Attach this card to a relevant target.);This card can hold a maximum of 1 Power Counter. During your Starting Phase, put 1 Power Counter on this card.;Remove 1 Power Counter: Gain 1 TP. Spend TP gained this way only to play or activate abilities of Metal-type cards. Lose any unspent TP gained this way at end of turn.
Moebius Wormhole BS 054	BS	BS-054.png	Space	N/A	N/A	Special Rank Recovery	Augment	3	Rare	Mythical, Equip Player (Only one copy of this card can exist under your control. Attach this card to a relevant target.);Whenever a Player plays a Space-type card, they may send 1 target nonCharacter Space-type card with a different name from their Discard Pile to the bottom of their Deck.
Molecular Hyperdrive BS 055	BS	BS-055.png	Time	N/A	N/A	Ultra Rank Enhancement	Augment	6	Super Rare	Mythical, Equip Character (Only one copy of this card can exist under your control. Attach this card to a relevant target.);Whenever the attached target Attacks, gain 1 TP.
Morale Boost BS 056	BS	BS-056.png	Space	N/A	N/A	Special Rank Enhancement	Augment	3	Common	Equip Player (Attach this card to a relevant target.);The attached target can store an extra 2 TP.
Mountaintop Plateau BS 057	BS	BS-057.png	Earth	N/A	N/A	Special Rank Buff	Augment	2	Common	Equip Player (Attach this card to a relevant target.);Earth-type Characters get +3 HP.
Nature Essence BS 058	BS	BS-058.png	Nature	N/A	N/A	Special Rank Resource Recovery	Augment	2	Common	Equip Player (Attach this card to a relevant target.);This card can hold a maximum of 1 Power Counter. During your Starting Phase, put 1 Power Counter on this card.;Remove 1 Power Counter: Gain 1 TP. Spend TP gained this way only to play or activate abilities of Nature-type cards. Lose any unspent TP gained this way at end of turn.
Negate Draw BS 059	BS	BS-059.png	Water	N/A	N/A	Hyper Rank Curse	Augment	4	Super Rare	Mythical, Equip Player (Only one copy of this card can exist under your control. Attach this card to a relevant target.);Each time the attached target would draw one or more cards, Negate that draw unless they pay 1 TP.
Overclock BS 060	BS	BS-060.png	Time	N/A	N/A	Hyper Rank Modifier	Augment	3	Uncommon	Equip Character (Attach this card to a relevant target.);Whenever the attached target Attacks, put 1 Power Counter on this card.;Put 1 Damage Counter on the equipped Character: Put 1 Power Counter on this card. This ability can only be used once per round.;Remove 3 Power Counter: Gain 1 TP.
Overpower BS 061	BS	BS-061.png	Time/Nature	N/A	N/A	Ultra Rank Enhancement	Augment	5	Super Rare	Equip Character (Attach this card to a relevant target.);During your End Phase, the attached target gains Aura 1. (Put that many of these Counters on your targets. It has +1 PLV for each of these Counters on it.)
Pallasite Ring BS 062	BS	BS-062.png	Space	N/A	N/A	Special Rank Curse Equipment	Augment	3	Rare	Equip Character (Attach this card to a relevant target.);The attached target has Infused with Space-type. (This target and all Attacks it performs are the listed elements instead.)
Personal Compactor BS 063	BS	BS-063.png	Metal	N/A	N/A	Special Rank Curse	Augment	1	Common	Equip Character (Attach this card to a relevant target.);The attached target gets -2 HP.
Pit of Flames BS 064	BS	BS-064.png	Fire	N/A	N/A	Special Rank Enhancement	Augment	1	Common	Equip Player (Attach this card to a relevant target.);Fire-type Characters deal 1 more damage per hit with Attacks.
Power Assembly BS 065	BS	BS-065.png	Storm/Fire	N/A	N/A	Hyper Rank Resource	Augment	3	Rare	Mythical, Equip Player (Only one copy of this card can exist under your control. Attach this card to a relevant target.);Characters have "Remove 1 Power Counter: This card gets +1 PLV until end of turn."
Pull Reversal BS 066	BS	BS-066.png	Space	N/A	N/A	Hyper Rank Draw Curse	Augment	4	Rare	Mythical, Equip Player (Only one copy of this card can exist under your control. Attach this card to a relevant target.);Players must play with their Decks flipped upside-down and face-up.
Redwood Maze BS 067	BS	BS-067.png	Nature	N/A	N/A	Special Rank Burn	Augment	3	Uncommon	Equip Player (Attach this card to a relevant target.);Whenever a Nature-type Character enters, their controller chooses target Player to destroy the top card of their Deck.
Reflective Shield BS 068	BS	BS-068.png	Metal	N/A	N/A	Hyper Rank Equipment	Augment	2	Common	Equip Player or Character (Attach this card to a relevant target.);2 TP: Deflect 1 Attack of Hyper Rank or lower that targets the attached target. This ability can only be used once per round.
Serpent's Tongue BS 069	BS	BS-069.png	Nature	N/A	N/A	Hyper Rank Modifier	Augment	2	Common	Equip Player or Character (Attach this card to a relevant target.);Whenever the attached target deals Damage, each target dealt Damage gains Poison 1. (Put that many of these Counters on your targets. During your Starting Phase, remove each of these Counters from it then put that many Damage Counters on it.)
Sodalite Ring BS 070	BS	BS-070.png	Water	N/A	N/A	Special Rank Curse Equipment	Augment	3	Rare	Equip Character (Attach this card to a relevant target.);The attached target has Infused with Water-type. (This target and all Attacks it performs are the listed elements instead.)
Solar Panel BS 071	BS	BS-071.png	Light/Storm	N/A	N/A	Hyper Rank Recovery Resource	Augment	4	Rare	Equip Player (Attach this card to a relevant target.);This card can hold a maximum of 10 Power Counters. During your End Phase, put 1 Power Counter on this card.;Remove all Power Counters: Gain 1 TP for each Power Counter removed this way, then destroy this card.
Space Essence BS 072	BS	BS-072.png	Space	N/A	N/A	Special Rank Resource Recovery	Augment	2	Common	Equip Player (Attach this card to a relevant target.);This card can hold a maximum of 1 Power Counter. During your Starting Phase, put 1 Power Counter on this card.;Remove 1 Power Counter: Gain 1 TP. Spend TP gained this way only to play or activate abilities of Space-type cards. Lose any unspent TP gained this way at end of turn.
Sparring Gloves BS 073	BS	BS-073.png	Nature/Water	N/A	N/A	Hyper Rank Draw Enhancement Equipment	Augment	4	Common	Equip Character (Attach this card to a relevant target.);This card enters with 3 Power Counters on it. If it has no Power Counters on it, destroy it.;The attached target gets +2 PLV. Whenever they Attack, their controller may remove 1 Power Counter from this card to draw a card.
Steel Cage BS 074	BS	BS-074.png	Metal	N/A	N/A	Special Rank Enhancement	Augment	3	Common	Equip Player (Attach this card to a relevant target.);Metal-type Characters deal True Damage instead of Unblockable Damage.
Storm Essence BS 075	BS	BS-075.png	Storm	N/A	N/A	Special Rank Resource Recovery	Augment	2	Common	Equip Player (Attach this card to a relevant target.);This card can hold a maximum of 1 Power Counter. During your Starting Phase, put 1 Power Counter on this card.;Remove 1 Power Counter: Gain 1 TP. Spend TP gained this way only to play or activate abilities of Storm-type cards. Lose any unspent TP gained this way at end of turn.
Superpower Aura BS 076	BS	BS-076.png	Light/Nature	N/A	N/A	Legendary Rank Enhancement	Augment	8	Ultra Rare	Mythical, Equip Character (Only one copy of this card can exist under your control. Attach this card to a relevant target.);During your End Phase, if the user has no Aura Counters, the attached target gains Aura 1. Otherwise, double the number of Aura Counters on it. (Put that many of these Counters on your targets. It has +1 PLV for each of these Counters on it.)
Technophobia BS 077	BS	BS-077.png	Earth	N/A	N/A	Hyper Rank Enhancement	Augment	4	Rare	Equip Character (Attach this card to a relevant target.);The attached target has Immune to Equipment. (This target cannot be targeted or affected by the listed card types, keywords, Counters, or abilities.);Whenever the attached target Attacks a target that has any Equipment cards attached to them, that Attack's Damage is doubled.
Technopolis Skate Park BS 078	BS	BS-078.png	Metal/Earth	N/A	N/A	Special Rank Curse	Augment	2	Common	Equip Player (Attach this card to a relevant target.);During each Player's End Phase, that Player targets one Character they control to gains Fracture 1. (Put that many of these Counters on your targets. Whenever it Attacks, put 1 Damage Counter on it for each of these Counters on it.)
Time Essence BS 079	BS	BS-079.png	Time	N/A	N/A	Special Rank Resource Recovery	Augment	2	Common	Equip Player (Attach this card to a relevant target.);This card can hold a maximum of 1 Power Counter. During your Starting Phase, put 1 Power Counter on this card.;Remove 1 Power Counter: Gain 1 TP. Spend TP gained this way only to play or activate abilities of Time-type cards. Lose any unspent TP gained this way at end of turn.
Tower Shield BS 080	BS	BS-080.png	Metal	N/A	N/A	Hyper Rank Equipment	Augment	5	Rare	Equip Character (Attach this card to a relevant target.);This card enters with 1 Power Counter on it. If it has no Power Counters on it, destroy it.;The equipped Character is treated as though they have a number of extra Shield equal to the number of Power Counters on this card.;Whenever the equipped Character would remove Shield, you may remove Power Counters from this card instead.
Treatment Facility BS 081	BS	BS-081.png	Light	N/A	N/A	Special Rank Recovery	Augment	3	Common	Equip Player (Attach this card to a relevant target.);During each Player's Starting Phase, each Character that Player controls heals for 1 HP.
Void Gauntlet BS 082	BS	BS-082.png	Null	N/A	N/A	Ultra Rank Rift Equipment	Augment	6	Rare	Void, Equip Character (If this target would be destroyed, imprison it instead. Attach this card to a relevant target.);This card enters with 1 Power Counter on it. If it has no Power Counters on it, destroy it.;Whenever the attached target Attacks, remove 1 Power Counter from this card.;The attached target gets +1 PLV for each card in your Rift Zone.
Water Essence BS 083	BS	BS-083.png	Water	N/A	N/A	Special Rank Resource Recovery	Augment	2	Common	Equip Player (Attach this card to a relevant target.);This card can hold a maximum of 1 Power Counter. During your Starting Phase, put 1 Power Counter on this card.;Remove 1 Power Counter: Gain 1 TP. Spend TP gained this way only to play or activate abilities of Water-type cards. Lose any unspent TP gained this way at end of turn.
Alex Leo BS 084	BS	BS-084.png	Fire	10	2	Fighter	Character	3	Uncommon	Mastery of Fire-type (This target's Damage with Attacks that have at least 1 of the listed elements is doubled.);Put 2 Damage Counters on this card: Destroy any nonCharacter card. This ability can only be used once per round.
Animus Spirit Hakkon BS 085	BS	BS-085.png	Nature	8	2	Undead	Character	3	Rare	Whenever this card Attacks, it and each target dealt Damage gains Poison 1. (Put that many of these Counters on your targets. During your Starting Phase, remove each of these Counters from it then put that many Damage Counters on it.);Whenever this card would receive Damage due to Poison Counters, this card heals for HP equal to the amount of Damage it would receive instead.
Arrogant Gangster BS 086	BS	BS-086.png	Dark	6	1	Brute	Character	1	Common	If you have more HP than any other opponent Player, this card gets +2 PLV.
Aura Zephyr BS 087	BS	BS-087.png	Time/Storm	7	2	Knight	Character	2	Uncommon	Multistrike 1 (This target's Normal Rank Attacks Hit up to 1 extra targets.);Physical Skills and Reactions attached to this card cost 1 TP fewer.
Baron Ludevic BS 088	BS	BS-088.png	Metal	13	1	Machine	Character	3	Uncommon	Provoke (If within reach, your opponents' Attacks must target cards with this keyword first.);During your Starting Phase, this card heals for HP equal to the number of cards with Equip attached to it.
Captain Meteor BS 089	BS	BS-089.png	Space	6	1	Cosmonaut Soldier	Character	2	Common	Whenever you draw a card, this card gets +1 PLV until end of turn.
Cort Destro BS 090	BS	BS-090.png	Metal/Fire	11	3	Machine Soldier	Character	5	Rare	Reinforce 3- This card has Mastery of Fire-type. (If 3 or more Characters are in your Backup Zone, this target's Reinforce is active. This target's Damage with Attacks that have at least 1 of the listed elements is doubled.);This card's Normal Rank Attacks are Fire-type.
Cosmic Scribe BS 091	BS	BS-091.png	Space/Water	5	2	Magician	Character	2	Uncommon	This card enters with 2 Power Counters on it.;This card can hold a maximum of 2 Power Counters.;Remove 1 Power Counter: Draw the top or bottom card of your Deck. This ability can only be used once per turn.
Crusader Golem BS 092	BS	BS-092.png	Light/Earth	4	1	Golem	Character	2	Common	Your Fighter Pool can have any number of cards named Crusader Golem.;Other Golems you control get +1 HP and +1 PLV.
Dragonward Warrior BS 093	BS	BS-093.png	Metal/Earth	16	3	Knight	Character	4	Rare	Whenever this card is targeted by an Attack, that Attack deals Basic Damage instead.
Dreadforge Armorer BS 094	BS	BS-094.png	Metal/Water	12	3	Machine	Character	3	Uncommon	Arm Up 3 (If 3 or more cards with Equip are attached to this target, it's considered Armed Up.);While this card is Armed Up, it may gain Shield 1 or Barrier 1. This ability can only be used once per round.
Dreadforge Assassin BS 095	BS	BS-095.png	Dark/Metal	8	4	Machine	Character	2	Rare	Arm Up 3 (If 3 or more cards with Equip are attached to this target, it's considered Armed Up.);Whenever this card Attacks, if it's Armed Up, each target dealt Damage by that Attack gains Concussion until end of turn. (If this target gains Damage Counters, it's Knocked Out.)
Dreadforge Conduit BS 096	BS	BS-096.png	Metal/Storm	9	2	Machine Elemental	Character	5	Super Rare	Arm Up 3 (If 3 or more cards with Equip are attached to this target, it's considered Armed Up.);Whenever this card Attacks, if it's Armed Up, gain 1 TP for each Damage dealt by this Attack.
Dreadforge Predator BS 097	BS	BS-097.png	Metal/Nature	8	4	Machine Fighter	Character	3	Common	Arm Up 3 (If 3 or more cards with Equip are attached to this target, it's considered Armed Up.);While this card is Armed Up, it has Lock-On. (This target can reach all other targets.)
Dreadforge Subjugator BS 098	BS	BS-098.png	Light/Metal	8	5	Machine Brute	Character	4	Common	Arm Up 3 (If 3 or more cards with Equip are attached to this target, it's considered Armed Up.);When this card becomes Armed Up, Mute target opponent Character until this card is no longer Armed Up. (This target's abilities do nothing and cannot be activated or triggered.)
Dust Elemental BS 099	BS	BS-099.png	Earth	6	1	Elemental	Character	1	Common	Whenever this card is dealt Damage by an Attack, the attacker gains Fracture 1. (Put that many of these Counters on your targets. Whenever it Attacks, put 1 Damage Counter on it for each of these Counters on it.);Whenever this card Attacks, each target dealt Damage gains Fracture 1.
Escalus Kirby BS 100	BS	BS-100.png	Space/Storm	10	4	Magician	Character	5	Rare	2 TP, Discard a card: Roll 1d20:; - 4-20: This card gains +2 PLV until end of turn.; - 8-20: Put up to 2 Power Counters on target card.; - 16-20: Draw a card.; - 20: Roll again.;This ability can only be used once per round.
Forgemaster BS 101	BS	BS-101.png	Metal/Earth	16	3	Knight Brute	Character	6	Ultra Rare	Stacker 3 (When this card enters, you may put 3 cards from your Hand underneath it.);Unstack 1: Search your Deck for an Augment or Item card, reveal it, then put that card in your Hand and shuffle your Deck. This ability can only be used once per round.
Fury Elemental BS 102	BS	BS-102.png	Fire	9	1	Elemental	Character	2	Common	Flash (This target can Attack the turn it enters.);When this card enters, it gains Aura 2. (Put that many of these Counters on your targets. It has +1 PLV for each of these Counters on it.);During your End Phase, if this card didn't deal Damage this turn, it's Knocked Out.
Immortal Dead BS 103	BS	BS-103.png	Time/Dark	7	3	Undead	Character	2	Uncommon	You may play this card from your Discard Pile as though it was in your Fighter Pool. If you do, lose 5 HP.
Jam Blob BS 104	BS	BS-104.png	Light	3	1	Slime	Character	1	Common	When this card enters, another target gains Barrier 2. (Put that many of these Counters on your targets. If it becomes targeted by an nonAttack ability, you may remove 1 of these Counters from it to Negate that ability.)
Jungle Dryad BS 105	BS	BS-105.png	Nature	15	1	Plant Fey	Character	3	Super Rare	Mythical (Only one copy of this card can exist under your control.);Other Characters you control get +X HP, where X is the number of Power Counters on that Character.;2 TP: Put 1 Power Counter on another target ally Character. This ability can only be used once per turn.
