Name	Set	ImageFile	Element	Hit Points	Powerlevel	Level/Rank	Typecasting	Cost	Rarity	Description
Avaraxus the Defiler GMT 29	GMT	GMT-029.png	Light/Dark	45	9	Level 18 Deity	Character - Boss	8CS	Super Rare	Boss 3 (To play this card, send 3 Character card(s) from your Discard Pile to your Rift Zone.);On Attack: Each target of this attack gains Void until your next Starting Phase.;If this card Knocks Out a Character, send all cards attached to that Character to their owners' Rift Zones.
Avaraxus, Defiler Ascendant GMT 30	GMT	GMT-030.png	Light/Dark	52	12	Level 25 Abomination	Character - Level-Up	8CS	Ultra Rare	Mythical (Only 1 copy of this card can exist in your Deck.);Level-Up Avaraxus the Defiler (To play this card, the listed card(s) must be in play and able to act. Place this card on top of the listed card(s). Those cards are now in this card's Stack.);This card retains Avaraxus the Defiler's abilities.;Once per round, you may put 2 :curse: on all face-up cards target enemy Player controls.
Baal'Thael the Omniscient GMT 31	GMT	GMT-031.png	Space/Time	50	6	Level 18 Deity	Character - Boss	10CS	Super Rare	Boss 4 (To play this card, send 4 Character card(s) from your Discard Pile to your Rift Zone.);While In Play: All cards you control have 2 less !tp!. Additionally, This card can carry an unlimited number of :power: and has +1 !plv! for each :power: on it.;If you activate a card from your Hand or your side of the Field, put 1 :power: On this card.
Baal'Thael, Transcendant Master GMT 32	GMT	GMT-032.png	Space/Time	56	10	Level 25 Abomination	Character - Level-Up	10CS	Ultra Rare	Mythical (Only 1 copy of this card can exist in your Deck.);Level-Up Baal'Thael the Omniscient (To play this card, the listed card(s) must be in play and able to act. Place this card on top of the listed card(s). Those cards are now in this card's Stack.);This card retains Baal'Thael the Omniscient's abilities.;While in Play: All cards you own have their !tp! divided by 2, rounded down.
Baron Ludevic GMT 33	GMT	GMT-033.png	Metal	20	3	Level 7 Cyborg	Character	3CS	Uncommon	Once per turn, during your Starting Phase, this card heals for 1 !hp! for each card with Equip attached to it.
Captain Meteor GMT 34	GMT	GMT-034.png	Space	24	2	Level 6 Cadet	Character	4CS	Common	If you draw a card, this card gains 1 !plv! until this turn's End Phase.
Crysivel the Unbound GMT 35	GMT	GMT-035.png	Water/Fire	45	6	Level 18 Deity	Character - Boss	7CS	Super Rare	Boss 4 (To play this card, send 4 Character card(s) from your Discard Pile to your Rift Zone.);If you play a =water= Character from your Fighter Pool, you may search your Deck for any card and put it in your Hand. Shuffle your Deck afterward.;If you play a =fire= Character from your Fighter Pool, put 3 :drain: on all enemy Characters.
Crysivel, Infinity Warden GMT 36	GMT	GMT-036.png	Water/Fire	55	8	Level 25 Abomination	Character - Level-Up	9CS	Ultra Rare	Mythical (Only 1 copy of this card can exist in your Deck.);Level-Up Crysivel the Unbound (To play this card, the listed card(s) must be in play and able to act. Place this card on top of the listed card(s). Those cards are now in this card's Stack.);This card retains Crysivel the Unbound's abilities.;While In Play: You may search your Deck for cards instead of drawing cards. If you do, put those cards in your Hand. Shuffle your Deck afterward.
Dark Corsair GMT 37	GMT	GMT-037.png	Dark/Water	14	4	Level 3 Thug	Character	3CS	Uncommon	On Enter Field: Target enemy Player discards 1 card from their Hand at random. If successful, search your Deck for a card with at least 1 matching Supertype as that card, reveal it, then shuffle your Deck and put that card on top of your Deck.
Draigo, Soul of Ambition GMT 38	GMT	GMT-038.png	Dark	35	8	Level 15 Thug	Character - Level-Up	6CS	Rare	Level-Up Lars Draigo (To play this card, the listed card(s) must be in play and able to act. Place this card on top of the listed card(s). Those cards are now in this card's Stack.);Once per round, during your End Phase, All Characters controlled by target enemy Player gain Deathmark until your next End Phase.
Gai Lu, Soul of Harmony GMT 39	GMT	GMT-039.png	Storm	28	5	Level 12 Fighter	Character - Level-Up	6CS	Rare	Level-Up Gai Lu, Thunderfist (To play this card, the listed card(s) must be in play and able to act. Place this card on top of the listed card(s). Those cards are now in this card's Stack.);While In Play: All other ally Characters have +1 !plv! for each Character you control.
Gai Lu, Thunderfist GMT 40	GMT	GMT-040.png	Storm	17	2	Level 6 Fighter	Character	3CS	Common	While in Play: All other ally Characters have +1 !plv!.
Grug, Facesmasher GMT 41	GMT	GMT-041.png	Earth	20	6	Level 7 Brute	Character	3CS	Common	On Attack: Put 1 :fracture: On each target of this attack.
Grug, Soul of Savagery GMT 42	GMT	GMT-042.png	Earth	28	7	Level 12 Brute	Character - Level-Up	5CS	Rare	Level-Up Grug, Facesmasher (To play this card, the listed card(s) must be in play and able to act. Place this card on top of the listed card(s). Those cards are now in this card's Stack.);Multistrike 1 (This card can perform their Normal Attack 1 more time(s) per round.);This card retains Grug, Facesmasher's abilities.
Hakkon, Soul of the Wild GMT 43	GMT	GMT-043.png	Nature	36	8	Level 14 Undead	Character - Level-Up	3CS	Rare	Level-Up Animus Spirit Hakkon (To play this card, the listed card(s) must be in play and able to act. Place this card on top of the listed card(s). Those cards are now in this card's Stack.);Once per turn, during your Starting Phase, you may put 1 Poison Counter on all enemy Characters.;During any Player's Starting Phase, if any of that Player's Characters receive Damage Counters from Poison, put 1 Damage Counter on those Characters for each Poison Counter they have.
Kriegendyne GMT 44	GMT	GMT-044.png	Metal/Storm	26	4	Level 10 Mecha	Character	2CS	Ultra Rare	Mythical (Only 1 copy of this card can exist in your Deck.);While In Play: This card can carry up to 5 :power:. Additionally, This card has Power Source X, where X is the amount of :power: on this card.;Once per turn, during your End Phase, put 1 :power: on this card.
Kronus, Soul of Eternity GMT 45	GMT	GMT-045.png	Time	32	4	Level 16 Demigod	Character - Level-Up	7CS	Super Rare	Level-Up Kronus (To play this card, the listed card(s) must be in play and able to act. Place this card on top of the listed card(s). Those cards are now in this card's Stack.);Knock Out, Destroy Immune (This card cannot be targeted or affected by cards or abilities with the listed effects.);During any Player's End Phase, If this card has 0 !hp!, this card heals to full !hp! and its controller receives damage equal to this card's Level.
Kronus GMT 46	GMT	GMT-046.png	Time	28	4	Level 12 Demigod	Character	3CS	Rare	On Destroyed: If this card is in a Character Zone, send this card to your Backup Zone with full !hp!. Otherwise, send this card to your Fighter Pool.
Lars Draigo GMT 47	GMT	GMT-047.png	Dark	24	6	Level 12 Thug	Character	3CS	Uncommon	Once per round, you may pay 2 !tp!. If you do, target enemy Character gains Deathmark.
Ludevic, Soul of Silence GMT 48	GMT	GMT-048.png	Metal	22	5	Level 10 Cyborg	Character - Level-Up	7CS	Rare	Level-Up Baron Ludevic (To play this card, the listed card(s) must be in play and able to act. Place this card on top of the listed card(s). Those cards are now in this card's Stack.);On Enter Field: Put 3 :barrier: On this card.;On Attacked: Mute the attacker until your next End Phase.
Marko Sears GMT 49	GMT	GMT-049.png	Fire	19	3	Level 4 Fighter	Character	2CS	Common	On Attack: This card gains 1 !plv! until this turn's End Phase.
Marko, Soul of Justice GMT 50	GMT	GMT-050.png	Fire	26	3	Level 5 Fighter	Character - Level-Up	4CS	Rare	Level-Up Marko Sears (To play this card, the listed card(s) must be in play and able to act. Place this card on top of the listed card(s). Those cards are now in this card's Stack.);On Attack: This card gains 3 !plv! until this turn's End Phase.
Mars the Purifier GMT 51	GMT	GMT-051.png	Light	30	5	Level 11 Brute	Character	5CS	Rare	Light Affinity (This card lowers the TP cost of cards that have at least 1 of the listed elements by 1 for each match.);While In Play: This card deals 2 more damage per hit when attacking =darkness= Characters.
Mars, Soul of Vengeance GMT 52	GMT	GMT-052.png	Light	40	6	Level 15 Brute	Character - Level-Up	7CS	Super Rare	Level-Up Mars the Purifier (To play this card, the listed card(s) must be in play and able to act. Place this card on top of the listed card(s). Those cards are now in this card's Stack.);Light Mastery (This card's damage with attacks that have at least 1 of the listed elements is multiplied by 2.);On Attacked: Counter-hit for [!plv!*2] damage.
Meteor, Soul of the Stars GMT 53	GMT	GMT-053.png	Space	27	4	Level 10 Cadet	Character - Level-Up	5CS	Rare	Level-Up Captain Meteor (To play this card, the listed card(s) must be in play and able to act. Place this card on top of the listed card(s). Those cards are now in this card's Stack.);If you draw a card, this card gains 2 !plv! until this turn's End Phase.;On Attack: Send the top card of your Deck to your Rift Zone for each hit of this attack that deals 20 or more damage.
Narsai the Devourer GMT 54	GMT	GMT-054.png	Metal/Nature	45	8	Level 17 Deity	Character - Boss	7CS	Rare	Boss 4 (To play this card, send 4 Character card(s) from your Discard Pile to your Rift Zone.);Once per round during your End Phase, send up to 3 cards from each enemy Player's Hands to their owners' Discard Piles.
Narsai, Essence of Nothingness GMT 55	GMT	GMT-055.png	Metal/Nature	?	16	Level 25 Abomination	Character - Level-Up	8CS	Ultra Rare	Mythical (Only 1 copy of this card can exist in your Deck.);Level-Up Narsai the Devourer (To play this card, the listed card(s) must be in play and able to act. Place this card on top of the listed card(s). Those cards are now in this card's Stack.);Knock Out Immune (This card cannot be targeted or affected by cards or abilities with the listed effects.);On Add Damage Counter: You must send cards from the top of your Deck to your Discard Pile equal to the amount of Damage Counters this card would receive instead of receiving Damage Counters. If you can't, destroy this card.
Nebula Slime GMT 56	GMT	GMT-056.png	Space	10	3	Level 6 Abomination	Character	3CS	Common	On Destroyed: Send the top 3 cards of target enemy Player's Deck to their Rift Zone.
Phantom Guardian GMT 57	GMT	GMT-057.png	Time/Light	10	2	Level 3 Undead	Character	2CS	Common	On Enter Field: Put 2 :barrier: on this card.
Rundo Rondo GMT 58	GMT	GMT-058.png	Earth/Fire	18	5	Level 7 Fighter	Character	4CS	Common	On Successful Attack: If this attack is a Normal Attack, put 1:paralyze: on your target.
Seawitch Atholla GMT 59	GMT	GMT-059.png	Water	19	2	Level 5 Seafolk	Character	3CS	Common	Once per round, you may pay 1 TP and discard a card from your Hand to draw a card.
Virax the Destroyer GMT 60	GMT	GMT-060.png	Storm/Earth	50	10	Level 17 Deity	Character - Boss	9CS	Rare	Boss 5 (To play this card, send 5 Character card(s) from your Discard Pile to your Rift Zone.);While in Play: This card's attacks deal Relentless Damage.;Once per round, you may discard 3 cards from your Hand to send 1 card from the Field to their owner's Rift Zone.
Virax, Ultimate Annihilator GMT 61	GMT	GMT-061.png	Storm/Earth	75	14	Level 25 Abomination	Character - Level-Up	9CS	Ultra Rare	Mythical (Only 1 copy of this card can exist in your Deck.);Level-Up Virax the Destroyer (To play this card, the listed card(s) must be in play and able to act. Place this card on top of the listed card(s). Those cards are now in this card's Stack.);Once per round, during your Starting Phase, you may send 1 card from the Field to their owner's Rift Zone.
Blade Buckler GMT 62	GMT	GMT-062.png	Metal	5	N/A	Special Rank	Item Augment	2TP	Uncommon	Equip Character (Attach this card to a relevant target in their Equip Zone.);When Equipped: Put 1 :barrier: on the target.;While In Play: The target has +1 !plv!.
Blade of Kings GMT 63	GMT	GMT-063.png	Light/Metal	10	N/A	Devastation Rank	Item Augment	20TP	Uncommon	Equip Character (Attach this card to a relevant target in their Equip Zone.);While In Play: The target has +X !plv!, where X is equal to their Level.
Chainsaw Sword GMT 64	GMT	GMT-064.png	Dark/Metal	4	N/A	Hyper Rank	Item Augment	5TP	Common	Void (On Destroyed: Send this card to its owner's Rift Zone.);Equip Character (Attach this card to a relevant target in their Equip Zone.);On Attack: Remove all :barrier: from all enemy Characters.
Doomrazor GMT 65	GMT	GMT-065.png	Space	10	N/A	Devastation Rank	Item Augment	15TP	Super Rare	Mythical (Only 1 copy of this card can exist in your Deck.);Equip Character (Attach this card to a relevant target in their Equip Zone.);On Attack: This attack's damage is multiplied by 2 unless a Player sends the top 3 cards of their Deck to their Rift Zone.;On Attacked: You may Prevent this attack unless the attacker sends the top 2 cards of their Deck to their Rift Zone. If you do, put 1 Damage Counter on this card.
Eingrandr GMT 66	GMT	GMT-066.png	Storm	9	N/A	Ultra Rank	Item Augment	11TP	Rare	Mythical (Only 1 copy of this card can exist in your Deck.);Equip Character (Attach this card to a relevant target in their Equip Zone.);While In Play: The target has +3 !plv!.;On Attack: If this attack is a Skill of Ultra Rank or higher, this attack does 6 more damage per hit.
Glass Knife GMT 67	GMT	GMT-067.png	Dark/Earth	1	N/A	Special Rank	Item Augment	0TP	Uncommon	Equip Character  (Attach this card to a relevant target in their Equip Zone.);While In Play: The target has +3 !plv!.;On Successful Hit: Destroy this card.;On Attacked: Destroy this card.
Karate Boots GMT 68	GMT	GMT-068.png	Time	5	N/A	Special Rank	Item Augment	4TP	Common	Equip Character (Attach this card to a relevant target in their Equip Zone.);While In Play: The target has +1 !plv! and Multistrike 1. Additionally, this card is not damaged by enemy attacks.;On Successful Attack: Put 1 Damage Counter on this card.
Shimmering Cloak GMT 69	GMT	GMT-069.png	Space	3	N/A	Special Rank	Item Augment	4TP	Uncommon	Equip Character (Attach this card to a relevant target in their Equip Zone.);Once per round, during your Starting Phase, choose an Element. The target counts as having that Element until your next Starting Phase.
Tactical Visor GMT 70	GMT	GMT-070.png	Space/Light	3	N/A	Hyper Rank	Item Augment	5TP	Uncommon	Equip Character, Self (Attach this card to a relevant target in their Equip Zone.);While In Play: All enemy Players reveal each card they draw before putting it into their Hand.;Once per round, you may reveal 1 face-down card to all Players without activating it. Flip it face-down again afterward.
Tower Shield GMT 71	GMT	GMT-071.png	Metal	15	N/A	Ultra Rank	Item Augment	11TP	Common	Equip Character (Attach this card to a relevant target in their Equip Zone.);When Equipped: Put 1 :shield: on the target.;On Taking Damage: Put 1 :shield: on the target.
Worldcleaver GMT 72	GMT	GMT-072.png	Space/Earth	7	N/A	Hyper Rank	Item Augment	8TP	Rare	Equip Character >> (Attach this card to a relevant target in their Equip Zone.);While In Play: The target gets +6 !plv!.;On Attack: Destroy a card with Arena.
Adrenaline Shot GMT 73	GMT	GMT-073.png	Item	N/A	N/A	Hyper Rank	Item	5TP	Common	Target ally Character gains 2 !plv!. Additionally, your target gains Multistrike 1 until this turn's End Phase.
Amnesia Grenade GMT 74	GMT	GMT-074.png	Item	N/A	N/A	Special Rank	Item	4TP	Common	Lock-On (This card can directly attack enemy Players and Characters regardless of Combat Zone Order.);Destroy a non-Character card in target Character or Player's Equip Zone.
Antitox Tablets GMT 75	GMT	GMT-075.png	Item	N/A	N/A	Special Rank	Item	4TP	Common	Stock 3 (On Enter Field: Put 3 Power Counter(s) on this card. Once per round, you may remove 1 Power Counter to activate this card.);On Activate: Remove all :poison: and :drain: from target Character.
Behemoth Hammer GMT 76	GMT	GMT-076.png	Item	N/A	N/A	Ultra Rank	Item	10TP	Uncommon	Lock-On (This card can directly attack enemy Players and Characters regardless of Combat Zone Order.);Hit all enemies for 10 Unblockable damage.
Box of Bandages GMT 77	GMT	GMT-077.png	Item	N/A	N/A	Hyper Rank	Item	5TP	Common	Stock 3 (On Enter Field: Put 3 Power Counter(s) on this card. Once per round, you may remove 1 Power Counter to activate this card.);On Activate: Target ally Character or Player heals for 4 !hp!.
Ice Grenade GMT 78	GMT	GMT-078.png	Item	N/A	N/A	Special Rank	Item	2TP	Common	Target enemy Player loses 5 !tp!.
Mind Flay GMT 79	GMT	GMT-079.png	Item	N/A	N/A	Hyper Rank	Item	8TP	Uncommon	Target opponent discards 4 cards at random from their Hand. If they have less than 4 cards in their Hand, your target loses 2 !tp! for each missing card. If they don't have enough !tp!, they lose 10 !hp! instead.
Pocket Reality GMT 80	GMT	GMT-080.png	Item	N/A	N/A	Ultra Rank	Item	10TP	Uncommon	Target Character gains Damage Immune until your next Starting Phase.
Razor Shuriken GMT 81	GMT	GMT-081.png	Item	N/A	N/A	Special Rank	Item	4TP	Common	Stock 3 (On Enter Field: Put 3 Power Counter(s) on this card. Once per round, you may remove 1 Power Counter to activate this card.);On Activate: Hit target enemy Character for 5 Unblockable damage.
Script of Balance GMT 82	GMT	GMT-082.png	Item	N/A	N/A	Hyper Rank	Item	6TP	Rare	Void (On Destroyed: Send this card to its owner's Rift Zone.);Choose one:;  [+] Your TP becomes equal to target Player's TP.;  [+] Draw cards from your Deck or discard cards from your Hand until you have as many cards in your Hand as target Player.
Scroll of Insight GMT 83	GMT	GMT-083.png	Item	N/A	N/A	Hyper Rank	Item	7TP	Common	Stock 3 (On Enter Field: Put 3 Power Counter(s) on this card. Once per round, you may remove 1 Power Counter to activate this card.);On Activate: Draw a card. You gain 1 !tp!.
Skysunder GMT 84	GMT	GMT-084.png	Item	N/A	N/A	Devastation Rank	Item	15TP	Super Rare	Mythical (Only 1 copy of this card can exist in your Deck.);Destroy 1 card attached to all enemy Characters, then search each card's owner's total card pool for cards with the same names and send those cards to their owners' Rift Zones. All Players shuffle their Decks afterwards.
Summoning Scroll GMT 85	GMT	GMT-085.png	Item	N/A	N/A	Hyper Rank	Item	0TP	Uncommon	Play 1 Character of Level 8 or lower from your Fighter Pool. That Character's !tp! becomes 0 until it leaves the Character Zone.
Triage Center GMT 86	GMT	GMT-086.png	Item	N/A	N/A	Ultra Rank	Item	12TP	Common	You and all other allies heal for 15 !hp!.
Vampire Bomb GMT 87	GMT	GMT-087.png	Item	N/A	N/A	Hyper Rank	Item	5TP	Common	Hit target enemy for 10 damage. If successful, target ally heals for 5 !hp!.
Wraith Wrap GMT 88	GMT	GMT-088.png	Item	N/A	N/A	Special Rank	Item	2TP	Common	Put 2 :barrier: and 2 :curse: on target Character.
Blast of Light GMT 89	GMT	GMT-089.png	Light	N/A	N/A	Special Rank	Reaction Skill - Energy	3TP	Common	Hit target enemy for [!plv!+2+X] damage, where X is the number of cards in the current chain.
Fungal Spores GMT 90	GMT	GMT-090.png	Nature	N/A	N/A	Hyper Rank	Reaction Skill - Physical	5TP	Uncommon	Put 5 :poison: on all enemy Characters. 
Power Veil GMT 91	GMT	GMT-091.png	Storm/Water	N/A	N/A	Special Rank	Reaction Skill	0TP	Rare	This card can be played from your Hand without you being in The Last Stand.;You gain 4 !tp!. You lose any unspent !tp! gained this way during this turn's End Phase.
War Cry GMT 92	GMT	GMT-092.png	Earth/Fire	N/A	N/A	Special Rank	Reaction Skill	4TP	Uncommon	This card can be used during any Phase.;The user gains 4 !plv! until your next turn's End Phase.
Autoblock GMT 93	GMT	GMT-093.png	Time	N/A	N/A	Special Rank	Reaction	4TP	Common	Block 1 attack of Special Rank or lower that targets the user of this card. If successful, send this card to your Hand.
Baal'Thael's Grasp GMT 94	GMT	GMT-094.png	Space/Time	N/A	N/A	Ultra Rank	Reaction	10TP	Uncommon	Deflect 1 attack of Hyper Rank or lower that targets the user of this card.;If you control a Boss Character, put 2 :paralyze: on your target.
Conversion Barrier GMT 95	GMT	GMT-095.png	Light	N/A	N/A	Special Rank	Reaction	4TP	Common	Block 1 attack of Special Rank or lower that targets the user of this card. If successful, the user heals for 2 !hp! for each hit in that attack.
Counterpunch GMT 96	GMT	GMT-096.png	Earth	N/A	N/A	Special Rank	Reaction - Physical	4TP	Common	Counter-hit for [!plv!+5] damage.
Crysivel's Dismissal GMT 97	GMT	GMT-097.png	Water/Fire	N/A	N/A	Ultra Rank	Reaction	10TP	Uncommon	Negate 1 attack of Hyper Rank or lower that targets the user of this card.;If you control a Boss Character, target 1 enemy Player. Send the top or bottom 3 cards of your target's Deck to their Rift Zone. Your target shuffles their Deck afterward.
Debris Field GMT 98	GMT	GMT-098.png	Space	N/A	N/A	Special Rank	Reaction - Physical	2TP	Uncommon	Overdrive: 3 TP. (On Activate: You may pay this cost to trigger this card's Overdrive effect.);Counter-hit for [!plv!+2] damage.;On Overdrive Paid: Counter-hit for [!plv!+Target's LV] damage.
Deceiver's Gambit GMT 99	GMT	GMT-099.png	Dark	N/A	N/A	Hyper Rank	Reaction	5TP	Rare	Overdrive: Discard a Skill with the same Rank as the attacker's attack. (On Activate: You may pay this cost to trigger this card's Overdrive effect.);Block 1 attack of Special Rank or lower that targets the user of this card. If this card's Overdrive Cost was paid, Negate that attack instead.
Dimensional Swerve GMT 100	GMT	GMT-100.png	Space	N/A	N/A	Special Rank	Reaction	5TP	Common	Negate 1 attack of Special Rank or lower.
