Name	Set	ImageFile	Element	Hit Points	Powerlevel	Defense	Agility	Level/Rank	Typecasting	Cost	Rarity	Description
Overdrive 	VIC	VIC-015.png	Time	0	0	0	0	Devastation Rank	Augment	15TP	Ultra Rare	Mythical >> (Only 1 copy of this card can exist in your Deck.);Equip Self >> (Attach this card to a relevant target in their Equip Zone. The attached card grants the user its abilities.);Your TP is not consumed when using cards of Hyper Rank or lower. Other card costs and requirements still apply.
Photosynthesis Screen	VIC	VIC-016.png	Nature	0	0	0	0	Special Rank	Augment	5TP	Uncommon	Equip Character >> (Attach this card to a relevant target in their Equip Zone. The attached card grants the user its abilities.);Synchronize Diagonal 2 >> (If 2 or more Characters are adjacent to this card in 1 or more of the listed directions, this card's Synchronize effect is active.);On Attacked: If this attack is Water-type or Light-type, the user heals 2 HP. If the user's Synchronize is active, the user heals 2 HP for each hit of this attack instead.
Power of Null	VIC	VIC-017.png	Null	0	0	0	0	Devastation Rank	Augment	20TP	Super Rare	This card is Null-type.;Equip Character >> (Attach this card to a relevant target in their Equip Zone. The attached card grants the user its abilities.);Null Mastery >> (This card deals double damage with attacks that have at least 1 of the listed elements.)
Reverb Stone	VIC	VIC-018.png	Storm/Earth	0	0	0	0	Special Rank	Augment	3TP	Common	Equip Character >> (Attach this card to a relevant target in their Equip Zone. The attached card grants the user its abilities.);The user's attacks ignore half of their targets' DEF, rounded up.
Shuffle Cycle	VIC	VIC-019.png	Space	0	0	0	0	Hyper Rank	Augment	6TP	Uncommon	Equip Self >> (Attach this card to a relevant target in their Equip Zone. The attached card grants the user its abilities.);Once per round, during your turn, you may take a Skill, Reaction, Item, or Augment card from your Discard Pile and put it on top of your Deck. Shuffle your Deck afterward, then discard the top card of your Deck.
Stunlock	VIC	VIC-020.png	Time	0	0	0	0	Hyper Rank	Augment	8TP	Rare	Equip Character >> (Attach this card to a relevant target in their Equip Zone. The attached card grants the user its abilities.);Once per round, the user's Normal Attack gives Stun to its targets. (This card cannot act until attacked or this turn's End Phase. The attacker may attack 1 extra time.)
Super Aura	VIC	VIC-021.png	Light/Nature	0	0	2	0	Ultra Rank	Augment	10TP	Rare	Equip Character >> (Attach this card to a relevant target in their Equip Zone. The attached card grants the user its abilities.);Aura 2 >> (For every multiple of 2 HP this card is missing, this card gets +1 PLV.)
Surging Energy Aura	VIC	VIC-022.png	Storm	0	0	0	0	Hyper Rank	Augment	6TP	Rare	Equip Character >> (Attach this card to a relevant target in their Equip Zone. The attached card grants the user its abilities.);Synchronize All 1 >> (If 1 or more Characters are adjacent to this card in 1 or more of the listed directions, this card's Synchronize effect is active.);The user gets +[X*2] PLV, where X is the number of Characters triggering this card's Synchronize.
Temporal Battery	VIC	VIC-023.png	Space/Time	0	0	0	0	Hyper Rank	Augment	6TP	Rare	Equip Self >> (Attach this card to a relevant target in their Equip Zone. The attached card grants the user its abilities.);Carrier 2 >> (On Enter Field: Put 2 Power Counter(s) on this card.);At any time, you may pay 1 TP. If you do , put 1 Power Counter on this card.;Any any time, you may remove 1 Power Counter from this card. If you do, you gain 1 TP.;At any time, you may discard cards from your Hand. If you do, you gain 1 TP for each card discarded this way.
Weapon Mastery	VIC	VIC-024.png	Metal	0	0	0	0	Hyper Rank	Augment	5TP	Common	Equip Character, Self >> (Attach this card to a relevant target in their Equip Zone. The attached card grants the user its abilities.);The user gets +2 PLV for each Equip Item attached to them.
Alex Leo	VIC	VIC-025.png	Fire	15	3	2	3	Level 5	Character	1CS	Common	Fire Mastery >> (This card deals double damage with attacks that have at least 1 of the listed elements.);On Attack: If this attack is Fire-type, this card loses 3 HP.
Aura Soul	VIC	VIC-026.png	Light	22	5	4	4	Level 8	Character	2CS	Super Rare	Synchronize Up-Left Up Up-Right 1 >> (If 1 or more Characters are adjacent to this card in 1 or more of the listed directions, this card's Synchronize effect is active.);On Enter Field: Put 2 Ghost Counter on this card.  (This card is immune to Physical attacks. During your Starting Phase, this card loses 1 Ghost Counter.);During your Starting Phase, you may pay 10 TP to attach this card to an ally Character in their Equip Zone. If you do, this card is treated as both an Augment and a Character.;All Characters triggering this card's Synchronize get +2 PLV, +2 DEF, and +2 AGI.
Aura Zeph, the Agile Knight	VIC	VIC-027.png	Time	17	4	3	6	Level 6	Character	2CS	Common	Multistrike 1 >> (This card can perform their Normal Attack 1 extra time(s) per round.);This card can't use Energy Skills and Reactions.;This card's Normal Attack damage is increased by 2 before DEF calculations.
Cort, Soldier of Flame	VIC	VIC-028.png	Metal/Fire	24	4	4	1	Level 7	Character	2CS	Uncommon	Fire Affinity >> (This card lowers the TP cost of cards that have at least 1 of the listed elements by 1 for each match.);Reinforce 3 >> (If at least 3 Characters are in your Reserve Zone, this card's Reinforce effect is triggered.);This card's Normal Attack is Fire-type.;While this card's Reinforce is triggered, this card's PLV is multiplied by 2.
Escalus Kirby	VIC	VIC-029.png	Space/Light	29	1	3	4	Level 11	Character	3CS	Rare	Backup: This card has Power Source 2. (This effect is active as long as this card is in your Reserve Zone.);Once per turn, during your Starting Phase, you may reveal a card from your Hand. If you do, this card gets +X PLV, where X is the revealed card's TP cost divided by 2, rounded up, until this turn's End Phase.
Genesis Rage, God of The Epilogue	VIC	VIC-030.png	Space	60	20	10	20	Level 30	Character - Boss	6CS	Omega Rare	Mythical >> (Only 1 copy of this card can exist in your Deck.);Boss 6 >> (To play this card, send 6 Character card(s) from your Discard Pile to your Rift Zone.);Willpower >> (If this card has more than 1 HP any lethal damage reduces this card's HP to 1.);Wildcard >> (This card counts as having all elements when Element Matching.)
Jam Blob	VIC	VIC-031.png	Light	12	2	4	2	Level 4	Character	1CS	Common	On Enter Field: Put 3 Ghost Counters on this card. (This card is immune to Physical attacks. During your Starting Phase, this card loses 1 Ghost Counter.);Poison Immune >> (This card cannot be targeted or affected by abilities with the listed effects.)
Justin Sylph	VIC	VIC-032.png	Dark/Metal	16	4	5	1	Level 8	Character	2CS	Common	Once per round, you may pay 5 TP to Negate 1 Skill or Reaction of Hyper Rank or lower that targets this card.
Kyle Rage, Demon Overlord	VIC	VIC-033.png	Dark/Fire	38	7	3	7	Level 14	Character - Boss	3CS	Rare	Boss 1 >> (To play this card, send 1 Character card(s) from your Discard Pile to your Rift Zone.);Darkness Mastery >> (This card deals double damage with attacks that have at least 1 of the listed elements.);Darkness Affinity >> (This card lowers the TP cost of cards that have at least 1 of the listed elements by 1 for each match.)
Lilly Poh	VIC	VIC-034.png	Nature	20	6	2	2	Level 6	Character	2CS	Common	Nature Affinity >> (This card lowers the TP cost of cards that have at least 1 of the listed elements by 1 for each match.);On Attack: If this attack is a Physical Skill or Reaction, this attack's damage is increased by 2 per hit before DEF calculations.
Lunarus Wilt	VIC	VIC-035.png	Space/Dark	24	5	3	4	Level 10	Character	2CS	Uncommon	At any time during your turn, you may pay 2 TP to give this card +1 PLV or +1 DEF until this turn's End Phase.
Lyle Rage, The Original Legend	VIC	VIC-036.png	Space/Time	77	15	15	25	Level 30	Character - Level Up	6CS	Omega Rare	Level Up Omega Lynx >> (To play this card, the listed card(s) must be in play and able to act. Place this card on top of the listed card(s). Those cards are now in this card's Stack.);Signature: 30 TP. (You may pay this cost to trigger this card's Signature effect.);On Signature: This counts as a Legendary Rank Physical Skill that has Lock-On. Hit all enemies for [PLV+AGI+20] damage. If this attack's total damage exceeds 300, your HP becomes 1 and your TP becomes 0.
Lynx Rage	VIC	VIC-037.png	Time/Fire	25	4	1	6	Level 8	Character	2CS	Common	Stun Immune >> (This card cannot act until attacked or this turn's End Phase. The attacker may attack 1 extra time.);Power Source 1 >> (During your Starting Phase, you gain 1 TP.)
Match, Precision Hunter	VIC	VIC-038.png	Dark/Metal	16	3	4	0	Level 5	Character	1CS	Common	Backup: This card can attack as if it was in a Character Zone. Additionally, this card has Lock-On. (This effect is active as long as this card is in your Reserve Zone.);At any time, you may pay 3 TP. If you do, target 1 enemy Character. Your target gains Deathmark until this turn's End Phase. (If an ally of equal or higher level is destroyed during this round, Knock Out this card.)
Omega Lynx	VIC	VIC-039.png	Time/Dark	48	8	3	12	Level 18	Character - Level Up	4CS	Super Rare	Level Up Sigma Lynx >> (To play this card, the listed card(s) must be in play and able to act. Place this card on top of the listed card(s). Those cards are now in this card's Stack.);Power Source 1 >> (During your Starting Phase, you gain 1 TP.);Willpower >> (If this card has more than 1 HP any lethal damage reduces this card's HP to 1.);Aura 5 >> (For every multiple of 5 HP this card is missing, this card gets +1 PLV.);This card's Aura increases both PLV and AGI.
Riley Aero, Trickster Lycan	VIC	VIC-040.png	Light/Nature	26	4	6	4	Level 13	Character	3CS	Rare	Reinforce 3 >> (If at least 3 Characters are in your Reserve Zone, this card's Reinforce effect is triggered.);Once per turn, this card can use a Skill or Reaction from any Player's Discard Pile. If they do, the Skill or Reaction is sent to the bottom of its owner's Deck.;While this card's Reinforce is triggered, this card has Wildcard. (This card counts as having all elements when Element Matching.)
Senrir Forte	VIC	VIC-041.png	Light/Fire	20	4	3	3	Level 6	Character	2CS	Uncommon	On Attacked: Counter-attack with an Unblockable Normal Attack. (This attack's damage cannot be blocked.)
Sigma Lynx	VIC	VIC-042.png	Time/Dark	32	6	2	9	Level 11	Character - Level Up	3CS	Rare	Level Up Lynx Rage >> (To play this card, the listed card(s) must be in play and able to act. Place this card on top of the listed card(s). Those cards are now in this card's Stack.);Power Source 1 >> (During your Starting Phase, you gain 1 TP.);Willpower >> (If this card has more than 1 HP any lethal damage reduces this card's HP to 1.)
Solar Gladius	VIC	VIC-043.png	Light	42	8	4	4	Level 15	Character - Boss	3CS	Ultra Rare	Boss 2 >> (To play this card, send 2 Character card(s) from your Discard Pile to your Rift Zone.);Synchronize Down-Left Vertical Down-Right 1 >> (If 1 or more Characters are adjacent to this card in 1 or more of the listed directions, this card's Synchronize effect is active.);During your Starting Phase, you may pay 7 TP to attach this card to another Character in their Equip Zone. If you do, this card is treated as both an Equip Item and a Character.;While equipped, the user gets +3 PLV for each Character triggering this card's Synchronize.
Solar Sprite	VIC	VIC-044.png	Light	12	2	3	2	Level 4	Character	1CS	Common	On Taking Damage: This damage becomes Basic damage instead of its original damage type.;Willpower >> (If this card has more than 1 HP any lethal damage reduces this card's HP to 1.)
Starr Mylus	VIC	VIC-045.png	Space/Light	22	4	4	5	Level 7	Character	2CS	Uncommon	On Attack: This attack deals Unblockable damage. (This attack's damage cannot be blocked.)
Team Darkfire	VIC	VIC-046.png	Dark/Fire	50	8	9	8	Level 20	Character - Boss, Level Up	5CS	Ultra Rare	Boss 2 >> (To play this card, send 2 Character card(s) from your Discard Pile to your Rift Zone.);Level Up Alex Leo + Xavior Leo >> (To play this card, the listed card(s) must be in play and able to act. Place this card on top of the listed card(s). Those cards are now in this card's Stack.);Darkness, Fire Affinity >> (This card lowers the TP cost of cards that have at least 1 of the listed elements by 1 for each match.);If this card uses a Darkness-type or Fire-type Skill or Reaction of Ultra Rank or lower, you may use it without paying its TP cost.
Tyler Poh, Master Voltstriker	VIC	VIC-047.png	Storm	14	4	3	4	Level 7	Character	2CS	Rare	Backup: All other ally Characters have Multistrike 1 and their Normal Attacks are Storm-type in addition to their other Elements. (This effect is active as long as this card is in your Reserve Zone.);This card's Normal Attack deals Unblockable damage. (This attack's damage cannot be blocked.)
Walter, Cybernetics Expert	VIC	VIC-048.png	Metal/Nature	20	2	4	2	Level 6	Character	2CS	Uncommon	This card can hold up to 6 Power Counters.;All Augment and Item cards you control cost 1 fewer TP to play.;Whenever you play an Item or Augment card from your Hand, put 1 Power Counter on this card.;At any time, you may remove 3 Power Counters from this card to add 1 Power Counter to an Item you or an ally Player controls that has Stock.
X-Variant Armored Turret	VIC	VIC-049.png	Metal	12	5	5	0	Level 5	Character	1CS	Uncommon	Void >> (On Destroyed: Send this card to its owner's Rift Zone.);Synchronize Horizontal 1 >> (If 1 or more Characters are adjacent to this card in 1 or more of the listed directions, this card's Synchronize effect is active.);All Characters triggering this card's Synchronize cannot be directly targeted by attacks unless they're named X-Variant Armored Turret.
X-Variant Astral Hero	VIC	VIC-050.png	Space	25	4	4	4	Level 10	Character	2CS	Uncommon	Carrier 2 >> (On Enter Field: Put 2 Power Counter(s) on this card.);Once per round, during your turn, you may remove 1 Power Counter from this card to draw a card from the top or bottom of your Deck.;If this card has no Power Counters on it, this card has Void. (On Destroyed: Send this card to its owner's Rift Zone.)
X-Variant Bruiser	VIC	VIC-051.png	Dark	23	2	3	4	Level 10	Character	2CS	Common	Void >> (On Destroyed: Send this card to its owner's Rift Zone.);Aura 2 >> (For every multiple of 2 HP this card is missing, this card gets +1 PLV.)
X-Variant Gatling Gunner	VIC	VIC-052.png	Time/Earth	28	6	2	4	Level 6	Character	2CS	Common	Multistrike 3 >> (This card can perform their Normal Attack 3 extra time(s) per round.);On Normal Attack: This card gets -1 PLV until this turn's End Phase unless this card is triggering another card's Synchronize.
X-Variant Gladiator	VIC	VIC-053.png	Time/Earth	16	4	3	3	Level 4	Character	1CS	Common	Flash >> (This card can act the turn it's played.)
X-Variant Juggernaut	VIC	VIC-054.png	Metal/Nature	30	9	3	4	Level 15	Character	3CS	Rare	Stacker 3 >> (On Enter Field: Put 3 card(s) from your hand in this card's Stack. If you can't, you can't play this card.);This card has Bloodlust X, where X is the number of cards in this card's Stack. (On Successful Attack: This card heals X HP.);Once per round, during your turn, you may remove 1 card from this card's Stack. If you do, this card's PLV is multiplied by 2 until this turn's End Phase.
X-Variant Scout	VIC	VIC-055.png	Time/Storm	8	3	0	3	Level 2	Character	1CS	Common	Flash >> (This card can act the turn it's played.);Lock-On >> (This card can directly attack enemy players and Characters in Reserve Zones.)
X-Variant Soldier	VIC	VIC-056.png	Earth/Fire	29	6	5	1	Level 11	Character	3CS	Uncommon	On Taking Damage: This damage becomes Basic damage instead of its original damage type.
X-Variant Stargate Operator	VIC	VIC-057.png	Space	14	1	4	1	Level 4	Character	0CS	Rare	Mythical >> (Only 1 copy of this card can exist in your Deck.);Space Affinity >> (This card lowers the TP cost of cards that have at least 1 of the listed elements by 1 for each match.);Your Maximum CS is increased by 2.
Xavior Leo	VIC	VIC-058.png	Dark/Metal	20	5	4	2	Level 6	Character	2CS	Common	Blindness, Poison, Stun Immune >> (This card cannot be targeted or affected by abilities with the listed effects.)
Xodus Zeph, the Valiant Knight	VIC	VIC-059.png	Space/Light	40	14	10	16	Level 22	Character - Boss	5CS	Ultra Rare	Boss 4 >> (To play this card, send 4 Character card(s) from your Discard Pile to your Rift Zone.);This card can hold an unlimited number of Power Counters.;Space Mastery >> (This card deals double damage with attacks that have at least 1 of the listed elements.);Once per round, during your Starting Phase, you may send the top card of your Deck to your Rift Zone. If that card's a Space-type card, put 1 Power Counter on this card.;During your turn, you may remove 3 Power Counters from this card to activate 1 Skill or Reaction in your Rift Zone as if it was attached to this card without paying its TP Cost.
Breaker Blade	VIC	VIC-060.png	Item	3	N/A	N/A	N/A	Hyper Rank	Item - Equip	6TP	Common	Equip Character, Self >> (Attach this card to a relevant target in their Equip Zone. The attached card grants the user its abilities.);The user gets +2 PLV.;On Successful Attack: You may target 1 Item. If you do, destroy your target.
Character Cannon	VIC	VIC-061.png	Item	N/A	N/A	N/A	N/A	Special Rank	Item	4TP	Uncommon	Select 1 ally Character, then target 1 enemy. Hit your target for X damage, where X is the select ally Character's PLV. If successful, your target gains Stun. (This card cannot act until attacked or this turn's End Phase. The attacker may attack 1 extra time.)
Crashlanders	VIC	VIC-062.png	Item	4	N/A	N/A	N/A	Ultra Rank	Item - Equip	10TP	Common	Equip Character >> (Attach this card to a relevant target in their Equip Zone. The attached card grants the user its abilities.);The user gets +2 PLV and +4 AGI.;The user's Normal Attack is Earth-type in addition to its other Elements.
Crimson Knuckle	VIC	VIC-063.png	Item	6	N/A	N/A	N/A	Hyper Rank	Item - Equip	9TP	Common	Equip Character, Self >> (Attach this card to a relevant target in their Equip Zone. The attached card grants the user its abilities.);Multistrike 2 >> (This card can perform their Normal Attack 2 extra time(s) per round.);The user gets +2 PLV.
Diamond Ore	VIC	VIC-064.png	Item	N/A	N/A	N/A	N/A	Ultra Rank	Item	10TP	Uncommon	Target 1 enemy. Put 10 Fracture Counters on your target. (On Attack: This card loses 1 HP for each Fracture Counter on it.)
Flamethrower	VIC	VIC-065.png	Item	3	N/A	N/A	N/A	Hyper Rank	Item - Equip	6TP	Common	Equip Character >> (Attach this card to a relevant target in their Equip Zone. The attached card grants the user its abilities.);When attached, the user's Normal Attack becomes an Energy attack.;The user gets +2 PLV.;The user's Normal Attack is Fire-type is addition to its other Elements.
Frost Band	VIC	VIC-066.png	Item	3	N/A	N/A	N/A	Special Rank	Item - Equip	4TP	Common	Equip Character >> (Attach this card to a relevant target in their Equip Zone. The attached card grants the user its abilities.);The user gets +2 PLV.;The user's Normal Attack is Water-type in addition to its other Elements.
Kleptomania Card	VIC	VIC-067.png	Item	N/A	N/A	N/A	N/A	Hyper Rank	Item	5TP	Common	Target 1 enemy Player. Your target discards 1 card from their Hand at random and sends the top card of their Deck to their Discard Pile. If successful, draw 2 cards.
Large Medical Kit	VIC	VIC-068.png	Item	N/A	N/A	N/A	N/A	Hyper Rank	Item	8TP	Uncommon	Target 1 ally Character. Remove all Drain, Poison, Blindness, Fracture, and Paralyze Counters from your target. Additionally, you and your target heal 6 HP.
Lightning Orb	VIC	VIC-069.png	Item	N/A	N/A	N/A	N/A	Special Rank	Item	5TP	Rare	Lock-On >> (This card can directly attack enemy players and Characters in Reserve Zones.);Hit all enemy Characters for 5 Unblockable damage. (This attack's damage cannot be blocked.)
Magic Token	VIC	VIC-070.png	Item	N/A	N/A	N/A	N/A	Hyper Rank	Item	8TP	Rare	Target 1 Character that has no Subtype in your Discard Pile. Put your target in your Reserve Zone.
Malice Charm	VIC	VIC-071.png	Item	N/A	N/A	N/A	N/A	Hyper Rank	Item	5TP	Common	Target 1 ally Character. Your target gains Multistrike 1 until this turn's End Phase. (This card can perform their Normal Attack 1 extra time(s) per round.)
Meteor	VIC	VIC-072.png	Item	N/A	N/A	N/A	N/A	Devastation Rank	Item	18TP	Rare	Lock-On >> (This card can directly attack enemy players and Characters in Reserve Zones.);Hit all enemies for 25 damage. For each successful hit, send 1 card from any Player's Hand at random or the top of any Player's Deck to that Player's Rift Zone.
Miracle Drop	VIC	VIC-073.png	Item	N/A	N/A	N/A	N/A	Ultra Rank	Item	10TP	Super Rare	Target 1 ally Character. Remove all Counters, Keywords, temporary effects, and other unoriginal effects from your target.
Missile Launcher	VIC	VIC-074.png	Item	N/A	N/A	N/A	N/A	Ultra Rank	Item	5TP	Common	Replay: 1 TP. (You may pay this cost to activate this card again before it's destroyed.);Target 1 enemy. Hit your target for 3 Relentless damage. (This attack's damage cannot be blocked, deflected, negated, or countered.)
Morale Crown	VIC	VIC-075.png	Item	4	N/A	N/A	N/A	Hyper Rank	Item - Equip	6TP	Common	Equip Self >> (Attach this card to a relevant target in their Equip Zone. The attached card grants the user its abilities.);This card's HP is not lost when attacking.;Once per round, during your Starting Phase, this card loses 1 HP.;All Characters you control get +2 PLV.
Perfect Invincibility	VIC	VIC-076.png	Item	N/A	N/A	N/A	N/A	Devastation Rank	Item	15TP	Ultra Rare	Mythical >> (Only 1 copy of this card can exist in your Deck.);Target 1 ally Character. Your target gains Damage Immune until this turn's End Phase. (This card cannot be targeted or affected by abilities with the listed effects.);Additionally, your target cannot gain other keywords, be Knocked Out, destroyed, or be sent to its owner's Discard Pile, Rift Zone, Deck, or Reserve Zone until your next Starting Phase.
Power Metal Guitar	VIC	VIC-077.png	Item	3	N/A	N/A	N/A	Hyper Rank	Item - Equip	6TP	Common	Equip Character >> (Attach this card to a relevant target in their Equip Zone. The attached card grants the user its abilities.);The user gets +2 PLV and +1 DEF.;The user's Normal Attack is Metal-type in addition to its other Elements.
Power Potion	VIC	VIC-078.png	Item	N/A	N/A	N/A	N/A	Special Rank	Item	0TP	Rare	Mythical >> (Only 1 copy of this card can exist in your Deck.);You gain 4 TP.
Programmer's Toolkit	VIC	VIC-079.png	Item	N/A	N/A	N/A	N/A	Hyper Rank	Item	8TP	Common	Search your Deck for 1 Equip Item or Augment of Ultra Rank or lower, reveal it, and attach it to an ally Character or yourself without paying its TP cost. Shuffle your Deck afterward.
Pummeling Grenade	VIC	VIC-080.png	Item	N/A	N/A	N/A	N/A	Special Rank	Item	3TP	Common	Target 1 enemy. Hit your target for 8 damage. If successful and your target is a Character, put 3 Drain Counters on your target. (This card loses 1 PLV and DEF for each Drain Counter. During your End Phase, this card loses 1 Drain Counter.)
Quick Reload	VIC	VIC-081.png	Item	N/A	N/A	N/A	N/A	Ultra Rank	Item	10TP	Uncommon	You can't play this card unless your Hand has fewer cards than your Maximum Hand Size.;Draw cards from the top of your Deck until your Hand's card count equals your Maximum Hand Size.
Quick Summon	VIC	VIC-082.png	Item	N/A	N/A	N/A	N/A	Hyper Rank	Item	5TP	Common	This card can be played during any Phase.;Play 1 Character from your Fighter Pool. That Character gains Flash. (This card can act the turn it's played.)
Recycle Shute	VIC	VIC-083.png	Item	N/A	N/A	N/A	N/A	Devastation Rank	Item	1TP	Rare	Replay: 1 TP. (You may pay this cost to activate this card again before it's destroyed.);Search your Discard Pile for a Skill, Reaction, Item, or Augment card and put that card on top of your Deck.;On Destroyed: Shuffle your Deck.
Remedy Herb	VIC	VIC-084.png	Item	N/A	N/A	N/A	N/A	Special Rank	Item	1TP	Common	Target 1 ally or yourself. Heal your target for 4 HP.
Rocket Ball	VIC	VIC-085.png	Item	N/A	N/A	N/A	N/A	Special Rank	Item	3TP	Common	Stock 4 >> (On Enter Field: Put 4 Power Counter(s) on this card. Once per round, you may remove 1 Power Counter to activate this card.);Target 1 enemy. Hit your target for 6 damage. If successful, flip a coin. If Tails, destroy this card.
Twister Orb	VIC	VIC-086.png	Item	4	N/A	N/A	N/A		Item - Equip	9TP	Rare	Equip Character >> (Attach this card to a relevant target in their Equip Zone. The attached card grants the user its abilities.);The user gets +4 PLV.;The user's Normal Attack is Storm-type in addition to its other Elements.;The user's Normal Attack hits all enemies.
Variable Sword	VIC	VIC-087.png	Item	X	N/A	N/A	N/A	Ultra Rank	Item - Equip	10TP	Rare	You must send your Hand to your Discard Pile in order to play this card. X becomes how many cards you sent to your Discard Pile this way.;Equip Character >> (Attach this card to a relevant target in their Equip Zone. The attached card grants the user its abilities.);On Attack: Flip X Coins. For each Heads, destroy 1 card attached to an enemy Character or Player. Additionally, this card loses 1 HP.
Vitality Soda	VIC	VIC-088.png	Item	N/A	N/A	N/A	N/A	Hyper Rank	Item	6TP	Uncommon	Stock 3 >> (On Enter Field: Put 3 Power Counter(s) on this card. Once per round, you may remove 1 Power Counter to activate this card.);Target 1 ally Character. Your target heals 8 HP.
Aerial Blitz Unleash	VIC	VIC-089.png	Time/Dark	N/A	N/A	N/A	N/A	Devastation Rank	Reaction - Physical	20TP	Super Rare	Prevent 1 Physical attack. If successful, Counter-hit for [AGI+5] damage 3 times, then hit [AGI+9] damage. If successful, put 3 Timebomb Counters on the defender. (During your End Phase, put 1 Timebomb Counter on this card if it has any. If this card has 5 or more Timebomb Counters, Knock Out this card and send it to its owner's Rift Zone.)
Afterimage	VIC	VIC-090.png	Time/Light	N/A	N/A	N/A	N/A	Hyper Rank	Reaction	7TP	Common	Negate 1 attack of Hyper Rank or lower. If successful, the attacker gains Stun. (This card cannot act until attacked or this turn's End Phase. The attacker may attack 1 extra time.)
Banshee Barrier	VIC	VIC-091.png	Light/Storm	N/A	N/A	N/A	N/A	Hyper Rank	Reaction - Energy	9TP	Common	Negate 1 attack of Ultra Rank or lower.;Counter-hit for [PLV+3] damage. Additionally, put 2 Ghost Counters on the user. (This card is immune to Physical attacks. During your Starting Phase, this card loses 1 Ghost Counter.)
