Name	Set	ImageFile	Element	Hit Points	Powerlevel	Level/Rank/Archetypes	Supertypes/Subtypes	Cost	Rarity	Description
Kronus, Avatar of Eternity BS 56	BS	BS-056.png	Time	8	2	Level 6 Avatar	Character	3	Rare	Backup: Power Source 1. (This effect is active while this card is in your Backup Zone.);Once per round, after the End Phase of your turn, gain 1 TP.
Lars Draigo BS 57	BS	BS-057.png	Dark	7	3	Level 5 Thug	Character	2	Common	Once per round, you may pay 2 TP to give target opponent Character Deathmark.
Lilly Poh BS 58	BS	BS-058.png	Light/Nature	5	2	Level 4 Fey Fighter	Character	2	Uncommon	If this card attacks with an Energy Attack, this Attack does 2 more Damage per hit.
Lunar Mylus BS 59	BS	BS-059.png	Space/Dark	8	2	Level 8 Demon	Character	4	Rare	Once per round, you may send the top card of your Deck to your Rift Zone to put 1 Power Counter(s) on this card.;Pay 3 TP: This card gains +X PLV until this turn's End Phase, where X is the number of Power Counter(s) on it.
Lyle Rage Form Omega BS 60	BS	BS-060.png	Space/Time	15	5	Level-Up Celestial Avatar	Character	3	Super Rare	Level-Up Lyle Rage Form Sigma (To play this card, you must own and control the listed card(s) and they must be able to attack. When this card enters the field, place the listed cards underneath it.);Power Source 3 (During your Starting Phase, you gain 3 TP.);Bloodlust 2 (If this card deals Damage, this card heals for 2 HP.)
Lyle Rage Form Sigma BS 61	BS	BS-061.png	Dark	10	4	Level-Up Celestial Demon	Character	2	Uncommon	Level-Up Lyle Rage (To play this card, you must own and control the listed card(s) and they must be able to attack. When this card enters the field, place the listed cards underneath it.);Power Source 1 (During your Starting Phase, you gain 1 TP.);Bloodlust 1 (If this card deals Damage, this card heals for 1 HP.)
Lyle Rage BS 62	BS	BS-062.png	Time	6	4	Level 7 Celestial Fighter	Character	3	Common	Power Source 1 (During your Starting Phase, you gain 1 TP.)
Marko Sears BS 63	BS	BS-063.png	Fire	5	3	Level 5 Fighter	Character	3	Uncommon	If this card attacks, it gains +1 PLV after dealing that Attack's Damage until this turn's End Phase.
Mars the Purifier BS 64	BS	BS-064.png	Light	12	4	Level 9 Knight	Character	4	Rare	All Knights have Mastery of Light-type. (This card's Damage with Attacks that have at least 1 of the listed elements is doubled.)
Match Gunther BS 65	BS	BS-065.png	Dark/Storm	4	4	Level 6 Machine Soldier	Character	3	Uncommon	Backup: Lock-On. Mastery of Storm-type. (This effect is active while this card is in your Backup Zone.);Pay 2 TP: Target Character gains Deathmark until this turn's End Phase.
Nebula Slime BS 66	BS	BS-066.png	Space	4	1	Level 3 Slime	Character	1	Common	If this card gets Knocked Out, target Player sends the top 2 cards of their Deck to their Rift Zone.
Phantom Guardian BS 67	BS	BS-067.png	Light/Dark	7	2	Level 5 Undead Knight	Character	3	Uncommon	This card enters the field with 2 Barrier Counter(s) on it.;When this card enters the field, put 1 Curse Counter(s) on target reachable opponent Character.
Riley Aero BS 68	BS	BS-068.png	Light	8	2	Level 7 Trickster Lycan Fighter	Character	3	Uncommon	Once per round, you may discard an Item, Augment, or Zone card to attach a Skill or Reaction card from your Discard Pile to this card.
Rundo Rondo BS 69	BS	BS-069.png	Storm/Earth	6	3	Level 6 Thug	Character	3	Uncommon	If this card hits successfully with a Normal Rank Attack, put 1 Paralyze Counter(s) on each target hit successfully by that Attack.
Scorchwillow Dryad BS 70	BS	BS-070.png	Nature/Fire	8	2	Level 5 Plant Fey	Character	2	Uncommon	If a Character you control has Damage Counters removed from it, you may put a number of Damage Counters on target Character equal to this card's PLV.
Seawitch Atholla BS 71	BS	BS-071.png	Water	7	2	Level 4 Seacreature	Character	2	Uncommon	Backup: Once per round, during your Draw Phase, you may pay 1 TP and discard a card to draw a card. (This effect is active while this card is in your Backup Zone.);Once per round, you may pay 1 TP and discard a card to draw a card.
Shaun Mylus BS 72	BS	BS-072.png	Space/Light	6	3	Level 8 Elemental Avatar	Character	4	Rare	This card's Attacks deal Unblockable Damage instead of Basic Damage.
Shinesteel Sentinel BS 73	BS	BS-073.png	Light/Metal	10	2	Level 6 Machine	Character	3	Common	If this card receives Damage Counters from an Attack, put 1 Barrier Counter(s) on it.
Space Kraken BS 74	BS	BS-074.png	Space/Water	8	3	Level 6 Seacreature Abomination	Character	3	Uncommon	Skills and Reactions can't activate unless their controller pays 1 TP.
Stellar Vagrant BS 75	BS	BS-075.png	Space/Earth	3	2	Level 4 Cadet	Character	2	Common	Once per round, during your Starting Phase, send the top card of each Player's Deck to their Rift Zone.
Thunderous Hermit BS 76	BS	BS-076.png	Storm	7	2	Level 5 Fighter	Character	2	Common	This card can have any number of cards in its Equip Zone.
Voltage Elemental BS 77	BS	BS-077.png	Storm	3	3	Level 3 Elemental	Character	1	Uncommon	Flash (This card can attack the turn it enters the field.);Lock-On (This card ignores the targeting rules of Combat Zone Order.)
Voodoo Flytrap BS 78	BS	BS-078.png	Dark/Nature	6	2	Level 6 Undead Plant	Character	3	Super Rare	If a Character would receive Poison Counter(s), put an equal amount of Drain Counter(s) on them.
Abyssal Orb BS 79	BS	BS-079.png	Null	N/A	N/A	Hyper Rank Equipment	Item Augment	4	Rare	Void (If this card is destroyed, send it to its owner's Rift Zone.);Equip Character (Attach this card to a relevant target in their Equip Zone.);The equipped Character has Mastery of Null-type and Void.
Almadine Ring BS 80	BS	BS-080.png	Fire	N/A	N/A	Special Rank Curse Equipment	Item Augment	3	Rare	Equip Character (Attach this card to a relevant target in their Equip Zone.);The equipped Character has Infused with Fire-type.
Amazonite Ring BS 81	BS	BS-081.png	Storm	N/A	N/A	Special Rank Curse Equipment	Item Augment	3	Rare	Equip Character (Attach this card to a relevant target in their Equip Zone.);The equipped Character has Infused with Storm-type.
Ammonite Ring BS 82	BS	BS-082.png	Time	N/A	N/A	Special Rank Curse Equipment	Item Augment	3	Rare	Equip Character (Attach this card to a relevant target in their Equip Zone.);The equipped Character has Infused with Time-type.
Axinite Ring BS 83	BS	BS-083.png	Earth	N/A	N/A	Special Rank Curse Equipment	Item Augment	3	Rare	Equip Character (Attach this card to a relevant target in their Equip Zone.);The equipped Character has Infused with Earth-type.
Blade of Kings BS 84	BS	BS-084.png	Light/Metal	N/A	N/A	Devastation Rank Equipment	Item Augment	6	Super Rare	Mythical (Only 1 copy of this card can exist in your Deck.);Carrier 3 (This card enters the field with 3 Power Counter(s) on it.);Equip Character (Attach this card to a relevant target in their Equip Zone.);This card can hold a maximum of 3 Power Counter(s). If it has no Power Counter(s) on it, destroy it.;The equipped Character has +X PLV, where X is equal to their Level. If the equipped Character attacks, remove 1 Power Counter(s) from this card.
Breaker Blade BS 85	BS	BS-085.png	Metal/Earth	N/A	N/A	Hyper Rank Destruction Equipment	Item Augment	4	Uncommon	Carrier 3 (This card enters the field with 3 Power Counter(s) on it.);Equip Player, Character (Attach this card to a relevant target in their Equip Zone.);This card can hold a maximum of 3 Power Counter(s). If it has no Power Counter(s) on it, destroy it.;Remove 1 Power Counter(s): Destroy 1 Item, Augment, or Zone card.
Citrine Ring BS 86	BS	BS-086.png	Light	N/A	N/A	Special Rank Curse Equipment	Item Augment	3	Rare	Equip Character (Attach this card to a relevant target in their Equip Zone.);The equipped Character has Infused with Light-type.
Crashlanders BS 87	BS	BS-087.png	Earth	N/A	N/A	Hyper Rank Equipment	Item Augment	5	Common	Equip Character (Attach this card to a relevant target in their Equip Zone.);The equipped Character has +4 HP and Immune to Fracture Counter(s), Paralyze Counter(s).
Dragonfire Scale BS 88	BS	BS-088.png	Fire	N/A	N/A	Ultra Rank Equipment Energy Attack	Item Augment	5	Rare	Equip Player, Character (Attach this card to a relevant target in their Equip Zone.);If the equipped target becomes targeted by an Attack or ability, put 1 Power Counter(s) on this card.;Remove X Power Counter(s): The equipped target hits target reachable opponent for X Unblockable Damage.
Glass Cannon BS 89	BS	BS-089.png	Dark/Earth	N/A	N/A	Special Rank Equipment	Item Augment	1	Common	Equip Character (Attach this card to a relevant target in their Equip Zone.);The equipped Character has +4 PLV. If they deal or receive Damage, destroy this card.
Hematite Ring BS 90	BS	BS-090.png	Metal	N/A	N/A	Special Rank Curse Equipment	Item Augment	3	Rare	Equip Character (Attach this card to a relevant target in their Equip Zone.);The equipped Character has Infused with Metal-type.
Malachite Ring BS 91	BS	BS-091.png	Nature	N/A	N/A	Special Rank Curse Equipment	Item Augment	3	Rare	Equip Character (Attach this card to a relevant target in their Equip Zone.);The equipped Character has Infused with Nature-type=.
Melanite Ring BS 92	BS	BS-092.png	Dark	N/A	N/A	Special Rank Curse Equipment	Item Augment	3	Rare	Equip Character (Attach this card to a relevant target in their Equip Zone.);The equipped Character has Infused with Darkness-type.
Pallasite Ring BS 93	BS	BS-093.png	Space	N/A	N/A	Special Rank Curse Equipment	Item Augment	3	Rare	Equip Character (Attach this card to a relevant target in their Equip Zone.);The equipped Character has Infused with Space-type.
Sodalite Ring BS 94	BS	BS-094.png	Water	N/A	N/A	Special Rank Curse Equipment	Item Augment	3	Rare	Equip Character (Attach this card to a relevant target in their Equip Zone.);The equipped Character has Infused with Water-type.
Solar Panel BS 95	BS	BS-095.png	Light/Storm	N/A	N/A	Hyper Rank Recovery Resource	Item Augment	4	Rare	Carrier 1 (This card enters the field with 1 Power Counter(s) on it.);Equip Player (Attach this card to a relevant target in their Equip Zone.);This card can hold a maximum of 10 Power Counter(s). Once per round, during your Starting Phase, put 1 Power Counter(s) on this card. If it has no Power Counter(s) on it, destroy it.;Once per round, you may remove all Power Counter(s) from this card to gain 1 TP for each Power Counter(s) removed this way.
Sparring Gloves BS 96	BS	BS-096.png	Nature/Water	N/A	N/A	Hyper Rank Draw Enhancement Equipment	Item Augment	4	Common	Carrier 3 (This card enters the field with 3 Power Counter(s) on it.);Equip Ally Character (Attach this card to a relevant target in their Equip Zone.);This card can hold a maximum of 3 Power Counter(s). If it has no Power Counter(s) on it, destroy it.;The equipped Character has +2 PLV. If they Attack, their controller may remove 1 Power Counter(s) from this card to draw a card.
Tower Shield BS 97	BS	BS-097.png	Metal	N/A	N/A	Hyper Rank Equipment	Item Augment	5	Uncommon	Carrier 3 (This card enters the field with 3 Power Counter(s) on it.);Equip Character (Attach this card to a relevant target in their Equip Zone.);This card can hold a maximum of 3 Power Counter(s). If it has no Power Counter(s) on it, destroy it.;The equipped Character has a number of additional Shield Counter(s) equal to the amount of Power Counter(s) on this card. If they Negate an Attack with Shield Counter(s), remove 1 Power Counter(s) from this card instead.
Void Gauntlet BS 98	BS	BS-098.png	Space	N/A	N/A	Ultra Rank Rift Equipment	Item Augment	6	Rare	Immune to Destroy (This card cannot be targeted or affected by the listed card types, abilities, or effects.);Carrier 2 (This card enters the field with 2 Power Counter(s) on it.);Equip Character (Attach this card to a relevant target in their Equip Zone.);This card can hold a maximum of 2 Power Counter(s). If it has no Power Counter(s) on it, send it to its owner's Rift Zone.;The equipped Character has +1 PLV for each card in your Rift Zone. If the equipped Character attacks, remove 1 Power Counter(s) from this card.
Adrenaline Shot BS 99	BS	BS-099.png	Item	N/A	N/A	Hyper Rank Buff	Item	4	Common	Target reachable Character gets +2 PLV and Multistrike 1 until this turn's End Phase.
Amnesia Grenade BS 100	BS	BS-100.png	Item	N/A	N/A	Special Rank Destruction	Item	2	Common	Lock-On (This card ignores the targeting rules of Combat Zone Order.);Destroy a card in target Character or Player's Equip Zone.
Angelic Smite BS 101	BS	BS-101.png	Item	N/A	N/A	Hyper Rank Destruction	Item	4	Common	Knock Out target Character.
Antitoxin BS 102	BS	BS-102.png	Item	N/A	N/A	Special Rank Recovery	Item	2	Common	Remove all Poison Counter(s) and Drain Counter(s) from target Character.
Box of Bandages BS 103	BS	BS-103.png	Item	N/A	N/A	Normal Rank Recovery	Item	0	Common	Lock-On (This card ignores the targeting rules of Combat Zone Order.);Target Character or Player heals for 2 HP then send this card to your Rift Zone.
Continue Token BS 104	BS	BS-104.png	Item	N/A	N/A	Hyper Rank Recovery	Item	3	Ultra Rare	Mythical (Only 1 copy of this card can exist in your Deck.);Play target non-Level-Up Character from a Discard Pile as if that Character was from your Fighter Pool without paying TP.
Continuum Potion BS 105	BS	BS-105.png	Item	N/A	N/A	Hyper Rank Rift Recovery	Item	0	Rare	Mythical (Only 1 copy of this card can exist in your Deck.);Send up to 2 cards from the top of your Deck to your Rift Zone. Gain 1 TP for each card sent to your Rift Zone this way.
Counter Generator BS 106	BS	BS-106.png	Item	N/A	N/A	Hyper Rank Resource	Item	4	Rare	Carrier 3 (This card enters the field with 3 Power Counter(s) on it.);This card can hold a maximum of 3 Power Counter(s). If it has no Power Counter(s) on it, destroy it.;Remove 1 Power Counter(s): Put 1 Power Counter(s) on target card you control except for cards named Counter Generator. This ability can only be used once per round.
Death Sickle BS 107	BS	BS-107.png	Item	N/A	N/A	Hyper Rank Curse	Item	4	Uncommon	Put 1 Curse Counter(s) on all reachable opponent Characters.
Dreadforge Arsenal BS 108	BS	BS-108.png	Item	N/A	N/A	Special Rank Search Draw Buff	Item	3	Uncommon	Search your Deck for a card with Equip and equip it to a relevant target without paying TP then shuffle your Deck.
Ejector Seat BS 109	BS	BS-109.png	Item	N/A	N/A	Special Rank Displacer	Item	3	Uncommon	Send target Character from the field to their owner's Fighter Pool. All non-Character cards underneath it and equipped to it are returned to their owners' Hands and all Character cards underneath it and equipped to it are sent to their owners' Discard Piles.
Gemstone Crusher BS 110	BS	BS-110.png	Item	N/A	N/A	Hyper Rank Debuff Projectile Attack	Item	5	Rare	Hit target reachable opponent for 6 Basic Damage. If successful, put a number of Fracture Counter(s) on that target equal to the Damage dealt.
Invincibility Stone BS 111	BS	BS-111.png	Item	N/A	N/A	Devastation Rank Defense	Item	8	Ultra Rare	Mythical (Only 1 copy of this card can exist in your Deck.);Void (If this card is destroyed, send it to its owner's Rift Zone.);Target Character or Player gains Immune to Everything until your next Starting Phase.
Medical Supply Kit BS 112	BS	BS-112.png	Item	N/A	N/A	Ultra Rank Recovery	Item	5	Uncommon	Remove all non-Damage non- Power Counter(s) Counters from target reachable Character or Player then heal your target for 6 HP.
Mind Eraser BS 113	BS	BS-113.png	Item	N/A	N/A	Special Rank Destruction	Item	2	Common	Destroy a non-Character card.
